id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
6315142,S.Primorska,Nova Gorica,Renče - Vogrsko,VOLČJA DRAGA,80.0,dvojček,1970,,608.0,115000.0
6142572,LJ-okolica,Kamnik,Kamnik,"VOLČJI POTOK, GOLF ARBORETUM",145.0,dvojček,2009,,,420000.0
6363743,LJ-okolica,Kamnik,Kamnik,"VOLČJI POTOK, HUDO",105.0,dvojček,2020,,375.0,233000.0
6372301,LJ-okolica,Kamnik,Kamnik,"VOLČJI POTOK, HUDO",168.0,samostojna,2020,,770.0,310000.0
6370963,Savinjska,Mozirje,Nazarje,VOLOG,89.0,samostojna,1900,1955,3427.0,75000.0
6245661,J. Primorska,Sežana,Sežana,VRABČE,207.0,samostojna,1983,,1874.0,115000.0
6258920,Podravska,Pesnica,Šentilj,VRANJI VRH,91.0,samostojna,1957,2008,17096.0,59000.0
6371531,Podravska,Pesnica,Šentilj,VRANJI VRH,135.0,samostojna,1989,2007,2821.0,85000.0
6204313,Podravska,Pesnica,Šentilj,VRANJI VRH,150.0,samostojna,1965,,1438.0,80000.0
6373906,Podravska,Pesnica,Šentilj,VRANJI VRH,346.6,samostojna,1969,1992,1200.0,130000.0
6253901,Savinjska,Žalec,Vransko,VRANSKO,40.0,samostojna,2012,,210489.0,380000.0
6369724,Savinjska,Žalec,Vransko,VRANSKO,170.0,samostojna,1975,,300.0,112000.0
6307185,Pomurska,Gornja Radgona,Apače,VRATJA VAS,59.0,samostojna,1940,,8280.0,50000.0
6349432,Gorenjska,Jesenice,Žirovnica,"VRBA, NA ROBU NASELJA",221.0,dvostanovanjska,1937,2010,3200.0,239000.0
6350813,Savinjska,Žalec,Žalec,VRBJE,75.6,samostojna,1850,,1145.0,70000.0
6368366,Savinjska,Žalec,Žalec,VRBJE,129.0,samostojna,2020,,541.0,154000.0
6368368,Savinjska,Žalec,Žalec,VRBJE,129.0,samostojna,2020,,351.0,154000.0
6265087,Savinjska,Žalec,Žalec,VRBJE,255.0,samostojna,2010,,616.0,240000.0
6311013,Savinjska,Žalec,Žalec,"VRBJE, ŽALEC BLIZU CENTRA",80.0,samostojna,1900,,336.0,30900.0
6242971,Savinjska,Šentjur,Šentjur,VRBNO,226.0,samostojna,1990,,521.0,104000.0
6170312,J. Primorska,Sežana,Divača,VREMSKI BRITOF,203.0,samostojna,1970,,324.0,85000.0
6157370,J. Primorska,Sežana,Divača,VREMSKI BRITOF,697.65,samostojna,2005,,1135.0,570000.0
6342326,Dolenjska,Trebnje,Šentrupert,VRH,180.0,samostojna,2010,,1785.0,50000.0
6372231,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Škofljica,VRH NAD ŽELIMLJAMI,302.08,samostojna,2003,,545.0,299000.0
5738139,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Škofljica,VRH NAD ŽELIMLJAMI,320.0,samostojna,2004,,1327.0,385000.0
6193378,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Škofljica,VRH NAD ŽELIMLJAMI,320.0,samostojna,2004,,1327.0,385000.0
6273528,Dolenjska,Kočevje,Kostel,VRH PRI FARI,109.0,samostojna,1988,,806.0,70000.0
6291211,Koroška,Slovenj Gradec,Slovenj Gradec,VRHE,207.0,samostojna,2000,,1361.0,169000.0
6321824,Koroška,Slovenj Gradec,Slovenj Gradec,"VRHE, SLOVENJ GRADEC",240.0,dvostanovanjska,2000,2011,1600.0,169000.0
6321660,Koroška,Slovenj Gradec,Slovenj Gradec,"VRHE, SLOVENJ GRADEC",400.0,hiša,1850,2000,140000.0,300000.0
6313686,Posavska,Brežice,Brežice,VRHJE,45.0,samostojna,2000,,4240.0,45000.0
6282906,Posavska,Brežice,Brežice,VRHJE,346.2,samostojna,1978,2018,865.0,129500.0
6291063,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,108.55,samostojna,2013,,317.0,99000.0
6362647,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,115.64,samostojna,2020,,386.0,240000.0
6364092,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,115.64,samostojna,2020,,365.0,235000.0
6364095,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,115.64,samostojna,2020,,350.0,240000.0
6351015,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,320.0,190000.0
6362643,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,312.0,235000.0
6362645,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,407.0,230000.0
6362656,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,312.0,240000.0
6362671,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,356.0,230000.0
6364103,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,356.0,230000.0
6368283,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,118.27,samostojna,2020,,413.0,240000.0
6362664,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,121.34,samostojna,2020,,413.0,240000.0
6364107,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,121.34,samostojna,2020,,401.0,240000.0
6372761,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,121.34,samostojna,2020,,401.0,240000.0
6362953,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,139.69,samostojna,2020,,365.0,235000.0
6362948,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,146.54,samostojna,2020,,401.0,240000.0
6362955,LJ-okolica,Vrhnika,Vrhnika,VRHNIKA,146.54,samostojna,2020,,357.0,230000.0
